epoch,loss,val_loss
0,0.08292520672827959,0.002536606276407838
1,0.0007436538678302896,9.573945862939581e-05
2,2.6137123626540415e-05,2.1477605969266733e-06
3,4.910819921448705e-07,2.114993158386369e-08
4,4.17312364892064e-09,2.2568763524688507e-10
5,2.0068697106911947e-10,1.4723711139197349e-10
6,2.2043080533107328e-10,2.2818544276326236e-10
7,2.4815000959632625e-10,1.623945422579709e-10
8,2.5526796471053716e-10,1.8307817761797907e-10
9,2.9277139929062557e-10,2.6617166803966086e-10
